"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT""20230419 10:01:23,1989.73,1990.27,1990.49,29217.8,29209.6,29233.1,95.15,95.14"
"20230419 10:18:52,1982.6,1982.37,1983.19,29198.1,29194.8,29215.3,95.46,95.39"
"20230419 10:19:03,1983.3,1983.24,1983.58,29204.4,29202.0,29223.8,95.5,95.43"
"20230419 10:19:14,1984.99,1984.59,1984.79,29212.2,29208.0,29231.1,95.55,95.48"
"20230419 10:19:26,1982.94,1982.25,1982.99,29206.0,29199.5,29221.3,95.49,95.43"
"20230419 10:19:37,1983.89,1983.94,1984.39,29214.8,29209.9,29231.1,95.49,95.44"
"20230419 10:19:48,1984.73,1984.27,1984.59,29216.7,29210.0,29230.9,95.51,95.46"
"20230419 10:19:59,1983.8,1982.76,1983.39,29211.8,29209.0,29224.3,95.48,95.43"
"20230419 10:20:11,1983.62,1983.23,1983.39,29211.8,29200.0,29221.2,95.44,95.37"
"20230419 10:20:22,1983.62,1983.58,1983.89,29194.5,29188.1,29209.2,95.43,95.36"
"20230419 10:20:33,1983.1,1982.69,1982.8,29189.1,29182.7,29197.3,95.37,95.3"
"20230419 10:20:44,1980.14,1980.0,1980.59,29168.5,29162.3,29184.0,95.32,95.27"
"20230419 10:20:55,1980.73,1981.55,1981.8,29162.5,29165.2,29184.0,95.3,95.26"
"20230419 10:21:07,1981.0,1980.44,1980.71,29164.3,29159.9,29182.2,95.29,95.23"
"20230419 10:21:18,1982.02,1982.69,1982.89,29175.1,29166.5,29189.6,95.34,95.27"
"20230419 10:21:29,1982.38,1982.28,1982.9,29172.2,29164.2,29186.1,95.3,95.24"
"20230419 10:21:40,1980.49,1980.31,1981.01,29162.5,29150.9,29173.2,95.27,95.21"
"20230419 10:21:52,1980.53,1980.29,1980.84,29162.4,29158.3,29179.1,95.25,95.2"
"20230419 10:22:03,1980.03,1979.86,1980.6,29164.9,29158.4,29181.8,95.29,95.24"
"20230419 10:22:15,1981.7,1981.31,1981.62,29186.0,29175.3,29201.8,95.22,95.15"
"20230419 10:22:26,1980.39,1979.78,1980.59,29168.2,29162.8,29187.0,95.15,95.09"
"20230419 10:22:37,1980.44,1980.19,1980.77,29179.5,29172.7,29188.2,95.2,95.15"
"20230419 10:22:49,1980.84,1980.25,1981.19,29173.1,29166.6,29187.0,95.2,95.15"
"20230419 10:23:00,1980.46,1980.02,1978.72,29161.5,29151.1,29170.2,95.2,95.15"
