"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT"
"20230223 18:31:07,1643.35,1643.51,1643.58,23825.5,23820.3,23826.7,94.25,94.23"
"20230223 18:32:07,1643.63,1643.73,1643.82,23834.8,23829.1,23837.0,94.28,94.26"
"20230223 18:33:07,1643.43,1643.64,1643.33,23838.3,23831.8,23839.5,94.21,94.19"
"20230223 18:34:07,1645.03,1645.18,1644.93,23859.2,23854.0,23857.0,94.28,94.26"
"20230223 18:35:07,1643.8,1643.87,1643.8,23847.7,23841.1,23846.0,94.3,94.23"
"20230223 18:36:07,1639.87,1640.05,1641.2,23795.8,23788.1,23799.7,94.07,94.04"
"20230223 18:37:07,1640.57,1640.79,1641.2,23801.9,23798.4,23807.4,94.11,94.05"
"20230223 18:38:07,1639.43,1639.59,1639.86,23798.2,23789.2,23799.0,94.12,94.07"
"20230223 18:39:08,1642.43,1642.63,1642.51,23827.5,23823.8,23829.4,94.25,94.21"
"20230223 18:40:08,1643.89,1644.21,1643.78,23847.9,23843.6,23846.0,94.32,94.28"
"20230223 18:41:08,1644.2,1644.52,1644.38,23851.1,23846.0,23846.0,94.34,94.33"
"20230223 18:42:08,1645.73,1645.69,1645.44,23866.1,23860.6,23859.7,94.38,94.35"
"20230223 18:43:08,1644.81,1645.0,1644.7,23851.5,23845.2,23850.7,94.35,94.31"
"20230223 18:44:08,1644.47,1644.77,1644.67,23857.9,23850.0,23854.8,94.41,94.38"
"20230223 18:45:08,1644.95,1645.03,1645.05,23859.7,23851.8,23858.7,94.4,94.38"
"20230223 18:46:08,1645.84,1645.91,1645.77,23862.8,23857.3,23864.0,94.48,94.44"
"20230223 18:47:08,1645.69,1645.94,1645.82,23872.2,23866.7,23873.4,94.51,94.47"
"20230223 18:48:08,1645.94,1645.97,1646.11,23877.8,23873.6,23879.0,94.54,94.51"
"20230223 18:49:09,1646.68,1646.99,1646.65,23889.0,23884.4,23886.5,94.58,94.57"
"20230223 18:50:09,1647.59,1647.83,1647.51,23898.4,23893.0,23897.2,94.59,94.57"
"20230223 18:51:09,1647.16,1647.56,1647.42,23896.7,23890.1,23899.2,94.61,94.59"
"20230223 18:52:09,1645.81,1646.17,1646.06,23881.1,23875.0,23883.0,94.55,94.53"
"20230223 18:53:09,1646.94,1647.13,1647.09,23896.1,23891.3,23898.9,94.62,94.62"
"20230223 18:54:09,1646.04,1646.14,1646.24,23884.0,23875.2,23883.1,94.57,94.55"
"20230223 18:55:09,1646.11,1646.13,1646.27,23887.4,23882.9,23889.9,94.57,94.55"
"20230223 18:56:09,1644.55,1644.82,1644.89,23854.3,23851.2,23860.8,94.48,94.47"
"20230223 18:57:09,1644.99,1645.38,1645.19,23865.9,23861.9,23870.4,94.5,94.49"
"20230223 18:58:10,1645.94,1646.19,1646.11,23879.2,23875.6,23881.5,94.55,94.53"
"20230223 18:59:10,1645.97,1645.99,1646.09,23872.1,23867.8,23875.0,94.53,94.52"
"20230223 19:00:10,1645.63,1645.7,1645.86,23865.9,23864.3,23870.8,94.52,94.51"
"20230223 19:01:10,1643.84,1643.86,1644.13,23847.7,23846.9,23857.1,94.45,94.4"
"20230223 19:02:11,1644.99,1644.99,1645.02,23859.8,23856.5,23861.9,94.43,94.42"
"20230223 19:03:11,1644.32,1644.59,1644.5,23858.6,23854.2,23862.3,94.42,94.39"
"20230223 19:04:11,1643.93,1643.91,1643.99,23844.4,23841.0,23856.9,94.42,94.39"
"20230223 19:05:11,1644.07,1643.99,1644.22,23852.6,23848.9,23860.1,94.42,94.39"
"20230223 19:06:12,1645.53,1645.67,1645.62,23869.8,23861.1,23870.3,94.44,94.43"
"20230223 19:07:13,1646.0,1646.1,1646.11,23881.7,23874.1,23884.0,94.46,94.44"
"20230223 19:08:13,1646.83,1646.95,1646.83,23896.1,23888.9,23895.5,94.48,94.47"
"20230223 19:09:14,1647.24,1647.02,1647.16,23897.3,23889.9,23898.5,94.47,94.44"
"20230223 19:10:14,1647.65,1647.85,1647.55,23922.2,23913.7,23918.3,94.47,94.44"
"20230223 19:11:15,1649.62,1649.71,1649.31,23953.0,23949.9,23950.9,94.59,94.57"
"20230223 19:12:15,1650.81,1651.0,1650.64,23959.2,23956.0,23962.2,94.57,94.56"
"20230223 19:13:16,1649.78,1649.92,1649.96,23952.2,23945.9,23953.2,94.6,94.58"
"20230223 19:14:17,1650.09,1650.19,1650.35,23953.5,23946.1,23954.5,94.63,94.62"
"20230223 19:15:17,1652.57,1652.85,1652.69,23985.1,23984.2,23983.7,94.66,94.63"
"20230223 19:16:18,1654.02,1654.12,1653.69,23995.5,23989.1,23994.5,94.59,94.58"
"20230223 19:17:18,1655.16,1655.31,1655.12,24045.0,24039.9,24037.2,94.64,94.65"
"20230223 19:18:19,1654.89,1655.15,1654.9,24028.8,24024.1,24028.4,94.62,94.63"
"20230223 19:19:20,1654.63,1654.43,1654.46,24011.7,24006.5,24012.1,94.6,94.59"
"20230223 19:39:14,1653.43,1653.2,1653.66,23976.7,23971.0,23981.2,94.45,94.44"
"20230223 19:40:14,1654.78,1654.69,1654.91,23999.9,23995.0,24000.2,94.51,94.49"
"20230223 19:41:15,1652.71,1652.76,1653.33,23970.2,23967.1,23976.5,94.47,94.45"
"20230223 19:42:15,1652.62,1652.6,1653.08,23965.5,23961.0,23967.9,94.48,94.46"
"20230223 19:43:16,1654.21,1654.04,1654.22,23987.1,23984.9,23985.0,94.53,94.51"
"20230223 19:44:16,1654.25,1653.93,1654.19,23986.2,23982.4,23987.5,94.53,94.51"
"20230223 19:45:17,1654.65,1654.43,1654.56,23999.4,23993.8,23996.3,94.53,94.51"
"20230223 19:46:17,1655.91,1655.85,1655.86,24016.1,24011.9,24013.0,94.54,94.53"
"20230223 19:47:18,1653.13,1652.83,1653.24,23973.7,23968.1,23977.3,94.46,94.44"
"20230223 19:48:18,1655.39,1655.33,1655.45,24003.5,24000.1,24005.3,94.52,94.51"
"20230223 19:49:19,1654.75,1654.46,1654.58,23990.9,23988.3,23990.4,94.46,94.44"
"20230223 19:50:19,1655.54,1655.21,1654.99,24005.4,24003.1,24006.1,94.5,94.48"
"20230223 19:51:20,1654.27,1654.03,1654.59,23992.6,23989.8,23993.2,94.47,94.45"
"20230223 19:52:20,1653.68,1653.55,1653.88,23978.6,23977.9,23981.7,94.45,94.44"
"20230223 19:53:21,1653.22,1653.05,1653.39,23968.0,23962.0,23973.1,94.45,94.43"
"20230223 19:54:21,1652.51,1652.49,1652.86,23960.8,23954.0,23965.5,94.34,94.34"
"20230223 19:55:22,1654.5,1654.38,1654.39,23992.3,23985.4,23993.0,94.41,94.4"
"20230223 19:56:23,1652.35,1652.08,1652.42,23959.5,23953.8,23961.9,94.38,94.37"
"20230223 19:57:23,1652.16,1652.0,1652.22,23958.4,23952.6,23958.9,94.33,94.31"
"20230223 19:58:24,1653.37,1653.19,1653.16,23976.0,23975.0,23978.0,94.42,94.41"
"20230223 19:59:24,1654.48,1654.12,1654.27,23992.7,23988.4,23993.6,94.45,94.43"
"20230223 20:00:24,1654.12,1653.77,1654.04,23992.5,23990.5,23994.7,94.48,94.47"
"20230223 20:01:25,1653.86,1653.82,1654.09,24002.2,23994.3,24000.2,94.51,94.48"
"20230223 20:02:26,1656.49,1656.17,1656.2,24042.8,24039.3,24037.2,94.59,94.57"
"20230223 20:03:26,1656.35,1656.25,1656.38,24043.4,24041.7,24045.1,94.63,94.64"
"20230223 20:04:27,1655.91,1655.55,1655.88,24041.6,24038.3,24042.9,94.61,94.58"
"20230223 20:05:28,1657.31,1657.05,1657.29,24066.7,24062.3,24063.8,94.67,94.68"
"20230223 22:24:52,1644.31,1644.31,1644.42,23826.8,23817.3,23823.4,94.15,94.11"
"20230223 22:25:53,1645.57,1645.43,1645.7,23850.0,23842.9,23846.4,94.15,94.14"
"20230223 22:26:53,1645.74,1645.6,1645.8,23844.1,23834.4,23839.1,94.14,94.18"
"20230223 22:27:54,1645.38,1644.94,1645.21,23834.7,23827.7,23831.2,94.15,94.12"
"20230223 22:28:54,1644.98,1644.91,1644.87,23838.0,23828.3,23834.3,94.13,94.15"
"20230223 22:29:54,1644.73,1644.77,1644.61,23841.3,23830.9,23837.6,94.11,94.1"
"20230223 22:30:55,1644.2,1643.43,1644.03,23827.7,23815.6,23824.6,94.13,94.12"
"20230223 22:31:55,1644.34,1644.22,1644.22,23844.6,23832.5,23835.9,94.13,94.12"
"20230223 22:32:56,1644.39,1643.68,1644.26,23827.8,23822.1,23826.5,94.11,94.12"
